AbsT,RelH
2016-03-29 13:59:50,44.357
2016-03-29 13:59:55,44.276
2016-03-29 14:00:00,44.236000000000004
2016-03-29 14:00:05,44.276
2016-03-29 14:00:10,44.215500000000006
2016-03-29 14:00:15,44.195
2016-03-29 14:00:20,44.195
2016-03-29 14:00:25,44.114
2016-03-29 14:00:30,44.134
2016-03-29 14:00:35,44.114
2016-03-29 14:00:40,44.114
2016-03-29 14:00:45,44.114
2016-03-29 14:00:50,44.134
2016-03-29 14:00:55,44.114
2016-03-29 14:01:00,44.074
2016-03-29 14:01:05,44.033
2016-03-29 14:01:10,44.013000000000005
2016-03-29 14:01:15,43.993
2016-03-29 14:01:25,43.9725
2016-03-29 14:01:30,43.911
2016-03-29 14:01:35,43.952
2016-03-29 14:01:40,43.911
2016-03-29 14:01:45,43.952
2016-03-29 14:01:50,43.952
2016-03-29 14:01:55,43.952
2016-03-29 14:02:00,44.033
2016-03-29 14:02:05,44.033
2016-03-29 14:02:10,44.073499999999996
2016-03-29 14:02:15,44.114
2016-03-29 14:02:25,44.114
2016-03-29 14:02:30,44.114
2016-03-29 14:02:35,44.114
2016-03-29 14:02:40,44.153999999999996
2016-03-29 14:02:45,44.153999999999996
2016-03-29 14:02:50,44.174499999999995
2016-03-29 14:02:55,44.195
2016-03-29 14:03:00,44.195
2016-03-29 14:03:05,44.236000000000004
2016-03-29 14:03:10,44.276
2016-03-29 14:03:15,44.29600000000001
2016-03-29 14:03:20,44.357
2016-03-29 14:03:25,44.478
2016-03-29 14:03:35,44.28966666666667
2016-03-29 14:03:40,44.195
2016-03-29 14:03:45,44.195
2016-03-29 14:03:50,44.276
2016-03-29 14:03:55,44.276
2016-03-29 14:04:00,44.276
2016-03-29 14:04:05,44.195
2016-03-29 14:04:10,44.195
2016-03-29 14:04:15,44.49850000000001
2016-03-29 14:04:20,44.843
2016-03-29 14:04:25,44.924
2016-03-29 14:04:30,44.965
2016-03-29 14:04:35,44.985
2016-03-29 14:04:40,45.005
2016-03-29 14:04:45,45.005
2016-03-29 14:04:50,44.641000000000005
2016-03-29 14:04:55,44.418000000000006
2016-03-29 14:05:00,44.276
2016-03-29 14:05:05,44.195
2016-03-29 14:05:10,44.2355
2016-03-29 14:05:15,44.398
2016-03-29 14:05:20,44.519
2016-03-29 14:05:25,44.762
2016-03-29 14:05:30,44.681000000000004
2016-03-29 14:05:35,44.681000000000004
2016-03-29 14:05:40,44.6
2016-03-29 14:05:45,44.519
2016-03-29 14:05:50,44.499
2016-03-29 14:05:55,44.6
2016-03-29 14:06:00,44.6
2016-03-29 14:06:05,44.6
2016-03-29 14:06:10,44.519
2016-03-29 14:06:15,44.6
2016-03-29 14:06:20,44.681000000000004
2016-03-29 14:06:25,44.721000000000004
2016-03-29 14:06:30,44.6405
2016-03-29 14:06:35,44.519
2016-03-29 14:06:40,44.519
2016-03-29 14:06:45,44.519
2016-03-29 14:06:50,44.681000000000004
2016-03-29 14:06:55,44.762
2016-03-29 14:07:00,44.883
2016-03-29 14:07:05,44.843
2016-03-29 14:07:10,44.5595
2016-03-29 14:07:15,44.56
2016-03-29 14:07:25,44.5595
2016-03-29 14:07:30,44.721500000000006
2016-03-29 14:07:35,44.681000000000004
2016-03-29 14:07:40,44.641000000000005
2016-03-29 14:07:45,44.681000000000004
2016-03-29 14:07:50,44.721500000000006
2016-03-29 14:07:55,44.519
2016-03-29 14:08:00,44.478
2016-03-29 14:08:05,44.438
2016-03-29 14:08:10,44.438
2016-03-29 14:08:15,44.3975
2016-03-29 14:08:20,44.843
2016-03-29 14:08:25,45.167
2016-03-29 14:08:30,45.086000000000006
2016-03-29 14:08:35,44.863
2016-03-29 14:08:40,44.965
2016-03-29 14:08:45,44.924
2016-03-29 14:08:50,44.762
2016-03-29 14:08:55,44.924
2016-03-29 14:09:00,44.803000000000004
2016-03-29 14:09:05,44.641000000000005
2016-03-29 14:09:10,44.6
2016-03-29 14:09:15,44.6405
2016-03-29 14:09:20,44.762
2016-03-29 14:09:25,44.924
2016-03-29 14:09:30,44.924
2016-03-29 14:09:35,44.762
2016-03-29 14:09:40,45.005
2016-03-29 14:09:45,44.965
2016-03-29 14:09:50,44.965
2016-03-29 14:09:55,44.924
2016-03-29 14:10:00,44.883
2016-03-29 14:10:05,45.045
2016-03-29 14:10:10,45.045
2016-03-29 14:10:15,44.9645
2016-03-29 14:10:20,45.005
2016-03-29 14:10:25,45.086000000000006
2016-03-29 14:10:30,45.1065
2016-03-29 14:10:35,45.126999999999995
2016-03-29 14:10:40,45.045
2016-03-29 14:10:45,45.005
2016-03-29 14:10:50,45.045500000000004
2016-03-29 14:10:55,44.883
2016-03-29 14:11:00,44.843
2016-03-29 14:11:05,44.883
2016-03-29 14:11:10,44.965
2016-03-29 14:11:15,45.1065
2016-03-29 14:11:20,45.045
2016-03-29 14:11:25,45.045
2016-03-29 14:11:30,45.005
2016-03-29 14:11:35,44.944500000000005
2016-03-29 14:11:40,44.843
2016-03-29 14:11:45,44.762
2016-03-29 14:11:50,44.7415
2016-03-29 14:11:55,44.681000000000004
2016-03-29 14:12:00,44.681000000000004
2016-03-29 14:12:05,44.681000000000004
2016-03-29 14:12:10,44.762
2016-03-29 14:12:15,44.822500000000005
2016-03-29 14:12:20,44.803000000000004
2016-03-29 14:12:25,44.843
2016-03-29 14:12:30,44.9645
2016-03-29 14:12:35,45.208
2016-03-29 14:12:40,45.045
2016-03-29 14:12:45,44.843
2016-03-29 14:12:50,44.924
2016-03-29 14:12:55,44.843
2016-03-29 14:13:00,44.843
2016-03-29 14:13:05,44.803000000000004
2016-03-29 14:13:10,44.803000000000004
2016-03-29 14:13:15,44.965
2016-03-29 14:13:20,44.965
2016-03-29 14:13:25,44.843
2016-03-29 14:13:30,44.8835
2016-03-29 14:13:35,44.762
2016-03-29 14:13:40,44.762
2016-03-29 14:13:45,44.762
2016-03-29 14:13:50,44.924
2016-03-29 14:13:55,44.924
2016-03-29 14:14:00,45.045
2016-03-29 14:14:05,45.167
2016-03-29 14:14:10,45.208
2016-03-29 14:14:15,45.167
2016-03-29 14:14:20,44.965
2016-03-29 14:14:25,44.883
2016-03-29 14:14:30,44.924
2016-03-29 14:14:35,44.9035
2016-03-29 14:14:40,44.843
2016-03-29 14:14:45,44.843
2016-03-29 14:14:50,44.82300000000001
2016-03-29 14:14:55,44.924
2016-03-29 14:15:00,44.924
2016-03-29 14:15:05,45.005
2016-03-29 14:15:10,44.965
2016-03-29 14:15:15,44.944500000000005
2016-03-29 14:15:20,45.086000000000006
2016-03-29 14:15:25,45.086000000000006
2016-03-29 14:15:30,45.126999999999995
2016-03-29 14:15:35,45.086
2016-03-29 14:15:40,45.005
2016-03-29 14:15:45,45.005
2016-03-29 14:15:50,45.005
2016-03-29 14:15:55,45.005
2016-03-29 14:16:00,45.086000000000006
2016-03-29 14:16:05,45.086000000000006
2016-03-29 14:16:10,45.086000000000006
2016-03-29 14:16:15,45.005
2016-03-29 14:16:20,45.045
2016-03-29 14:16:25,45.005
2016-03-29 14:16:30,45.005
2016-03-29 14:16:35,44.944500000000005
2016-03-29 14:16:40,44.924
2016-03-29 14:16:45,45.005
2016-03-29 14:16:50,45.12650000000001
2016-03-29 14:16:55,45.086000000000006
2016-03-29 14:17:00,45.086000000000006
2016-03-29 14:17:05,45.045
2016-03-29 14:17:10,45.025000000000006
2016-03-29 14:17:15,45.005
2016-03-29 14:17:20,44.924
2016-03-29 14:17:25,44.843
2016-03-29 14:17:30,44.883
2016-03-29 14:17:35,44.843
2016-03-29 14:17:40,44.924
2016-03-29 14:17:45,44.965
2016-03-29 14:17:50,44.883
2016-03-29 14:17:55,44.843
2016-03-29 14:18:00,44.883
2016-03-29 14:18:05,44.843
2016-03-29 14:18:10,45.207499999999996
2016-03-29 14:18:15,45.248000000000005
2016-03-29 14:18:20,45.086000000000006
2016-03-29 14:18:25,45.086000000000006
2016-03-29 14:18:30,45.126999999999995
2016-03-29 14:18:35,45.086
2016-03-29 14:18:40,45.045
2016-03-29 14:18:45,45.045
2016-03-29 14:18:50,45.086
2016-03-29 14:18:55,45.248000000000005
2016-03-29 14:19:00,45.32899999999999
2016-03-29 14:19:05,45.167
2016-03-29 14:19:10,45.086000000000006
2016-03-29 14:19:15,45.045500000000004
2016-03-29 14:19:20,45.005
2016-03-29 14:19:25,45.005
2016-03-29 14:19:30,45.1875
2016-03-29 14:19:35,45.126999999999995
2016-03-29 14:19:40,45.086000000000006
2016-03-29 14:19:45,45.248000000000005
2016-03-29 14:19:50,45.2075
2016-03-29 14:19:55,45.167
2016-03-29 14:20:00,45.126999999999995
2016-03-29 14:20:05,45.086000000000006
2016-03-29 14:20:10,45.12650000000001
2016-03-29 14:20:15,45.167
2016-03-29 14:20:20,45.126999999999995
2016-03-29 14:20:25,45.126999999999995
2016-03-29 14:20:30,45.167
2016-03-29 14:20:35,45.086000000000006
2016-03-29 14:20:40,45.005
2016-03-29 14:20:45,45.045
2016-03-29 14:20:50,45.1065
2016-03-29 14:20:55,45.086000000000006
2016-03-29 14:21:00,45.248000000000005
2016-03-29 14:21:05,45.208
2016-03-29 14:21:15,45.086000000000006
2016-03-29 14:21:20,45.005
2016-03-29 14:21:25,45.005
2016-03-29 14:21:30,45.045
2016-03-29 14:21:35,45.045500000000004
2016-03-29 14:21:40,44.924
2016-03-29 14:21:45,44.924
2016-03-29 14:21:50,45.1465
2016-03-29 14:21:55,45.32899999999999
2016-03-29 14:22:00,45.288000000000004
2016-03-29 14:22:05,45.248000000000005
2016-03-29 14:22:10,45.248000000000005
2016-03-29 14:22:15,45.208
2016-03-29 14:22:20,45.1875
2016-03-29 14:22:25,45.045
2016-03-29 14:22:30,45.005
2016-03-29 14:22:35,45.086000000000006
2016-03-29 14:22:40,45.005
2016-03-29 14:22:45,45.086000000000006
2016-03-29 14:22:50,45.1875
2016-03-29 14:22:55,45.208
2016-03-29 14:23:00,45.248000000000005
2016-03-29 14:23:05,45.248000000000005
2016-03-29 14:23:10,45.167
2016-03-29 14:23:15,45.045500000000004
2016-03-29 14:23:20,45.126999999999995
2016-03-29 14:23:25,45.248000000000005
2016-03-29 14:23:30,45.167
2016-03-29 14:23:35,45.1675
2016-03-29 14:23:40,45.248000000000005
2016-03-29 14:23:45,45.37
2016-03-29 14:23:50,45.268
2016-03-29 14:23:55,45.167
2016-03-29 14:24:00,45.167
2016-03-29 14:24:05,45.45
2016-03-29 14:24:10,45.369499999999995
2016-03-29 14:24:15,45.37
2016-03-29 14:24:20,45.37
2016-03-29 14:24:25,45.41
2016-03-29 14:24:30,45.34949999999999
2016-03-29 14:24:35,45.41
2016-03-29 14:24:40,45.37
2016-03-29 14:24:45,45.32899999999999
2016-03-29 14:24:50,45.37
2016-03-29 14:24:55,45.41
2016-03-29 14:25:00,45.32899999999999
2016-03-29 14:25:05,45.32899999999999
2016-03-29 14:25:10,45.37
2016-03-29 14:25:15,45.309
2016-03-29 14:25:20,45.41
2016-03-29 14:25:25,45.37
2016-03-29 14:25:30,45.2885
2016-03-29 14:25:35,45.32899999999999
2016-03-29 14:25:40,45.32899999999999
2016-03-29 14:25:45,45.248000000000005
2016-03-29 14:25:50,45.228
2016-03-29 14:25:55,45.167
2016-03-29 14:26:00,45.167
2016-03-29 14:26:05,45.248000000000005
2016-03-29 14:26:10,45.37
2016-03-29 14:26:15,45.37
2016-03-29 14:26:25,45.43
2016-03-29 14:26:30,45.4705
2016-03-29 14:26:35,45.653
2016-03-29 14:26:40,45.653
2016-03-29 14:26:45,45.653
2016-03-29 14:26:50,45.5115
2016-03-29 14:26:55,45.41
2016-03-29 14:27:00,45.32899999999999
2016-03-29 14:27:05,45.288000000000004
2016-03-29 14:27:10,45.309
2016-03-29 14:27:15,45.45
2016-03-29 14:27:20,45.37
2016-03-29 14:27:25,45.248000000000005
2016-03-29 14:27:30,45.2885
2016-03-29 14:27:35,45.32899999999999
2016-03-29 14:27:40,45.41
2016-03-29 14:27:45,45.32899999999999
2016-03-29 14:27:50,45.248000000000005
2016-03-29 14:27:55,45.349000000000004
2016-03-29 14:28:00,45.532
2016-03-29 14:28:05,45.571999999999996
2016-03-29 14:28:10,45.571999999999996
2016-03-29 14:28:15,45.430499999999995
2016-03-29 14:28:20,45.248000000000005
2016-03-29 14:28:25,45.32899999999999
2016-03-29 14:28:30,45.491
2016-03-29 14:28:35,45.611999999999995
2016-03-29 14:28:40,45.571999999999996
2016-03-29 14:28:45,45.49100000000001
2016-03-29 14:28:50,45.308499999999995
2016-03-29 14:28:55,45.49100000000001
2016-03-29 14:29:00,45.49100000000001
2016-03-29 14:29:05,45.49100000000001
2016-03-29 14:29:10,45.63249999999999
2016-03-29 14:29:15,45.775
2016-03-29 14:29:20,45.733999999999995
2016-03-29 14:29:25,45.653
2016-03-29 14:29:30,45.4705
2016-03-29 14:29:35,45.41
2016-03-29 14:29:40,45.49100000000001
2016-03-29 14:29:45,45.49100000000001
2016-03-29 14:29:50,45.450500000000005
2016-03-29 14:29:55,45.571999999999996
2016-03-29 14:30:00,45.571999999999996
2016-03-29 14:30:05,45.49100000000001
2016-03-29 14:30:10,45.39
