AbsT,Temp
2016-03-15 10:47:05,21.16
2016-03-15 10:47:10,21.165
2016-03-15 10:47:15,21.16
2016-03-15 10:47:20,21.16
2016-03-15 10:47:25,21.16
2016-03-15 10:47:30,21.16
2016-03-15 10:47:35,21.17
2016-03-15 10:47:40,21.16
2016-03-15 10:47:45,21.16
2016-03-15 10:47:50,21.155
2016-03-15 10:47:55,21.16
2016-03-15 10:48:00,21.16
2016-03-15 10:48:05,21.16
2016-03-15 10:48:10,21.16
2016-03-15 10:48:15,21.16
2016-03-15 10:48:20,21.16
2016-03-15 10:48:25,21.16
2016-03-15 10:48:30,21.165
2016-03-15 10:48:35,21.16
2016-03-15 10:48:40,21.16
2016-03-15 10:48:45,21.16
2016-03-15 10:48:50,21.16
2016-03-15 10:48:55,21.15
2016-03-15 10:49:00,21.16
2016-03-15 10:49:05,21.15
2016-03-15 10:49:10,21.16
2016-03-15 10:49:15,21.15
2016-03-15 10:49:20,21.16
2016-03-15 10:49:25,21.15
2016-03-15 10:49:30,21.16
2016-03-15 10:49:35,21.155
2016-03-15 10:49:40,21.15
2016-03-15 10:49:45,21.16
2016-03-15 10:49:50,21.155
2016-03-15 10:49:55,21.16
2016-03-15 10:50:00,21.16
2016-03-15 10:50:05,21.15
2016-03-15 10:50:10,21.145
2016-03-15 10:50:15,21.16
2016-03-15 10:50:20,21.15
2016-03-15 10:50:25,21.16
2016-03-15 10:50:30,21.15
2016-03-15 10:50:35,21.14
2016-03-15 10:50:40,21.15
2016-03-15 10:50:45,21.14
2016-03-15 10:50:50,21.145
2016-03-15 10:50:55,21.15
2016-03-15 10:51:00,21.14
2016-03-15 10:51:05,21.14
2016-03-15 10:51:10,21.145
2016-03-15 10:51:15,21.15
2016-03-15 10:51:20,21.15
2016-03-15 10:51:25,21.15
2016-03-15 10:51:30,21.15
2016-03-15 10:51:35,21.14
2016-03-15 10:51:40,21.15
2016-03-15 10:51:45,21.14
2016-03-15 10:51:50,21.14
2016-03-15 10:51:55,21.145
2016-03-15 10:52:00,21.14
2016-03-15 10:52:05,21.14
2016-03-15 10:52:10,21.14
2016-03-15 10:52:15,21.14
2016-03-15 10:52:20,21.15
2016-03-15 10:52:25,21.14
2016-03-15 10:52:30,21.14
2016-03-15 10:52:35,21.15
2016-03-15 10:52:40,21.14
2016-03-15 10:52:45,21.14
2016-03-15 10:52:50,21.145
2016-03-15 10:52:55,21.14
2016-03-15 10:53:00,21.14
2016-03-15 10:53:05,21.16
2016-03-15 10:53:10,21.14
2016-03-15 10:53:15,21.14
2016-03-15 10:53:20,21.14
2016-03-15 10:53:25,21.14
2016-03-15 10:53:30,21.145
2016-03-15 10:53:35,21.15
2016-03-15 10:53:40,21.15
2016-03-15 10:53:45,21.14
2016-03-15 10:53:50,21.14
2016-03-15 10:53:55,21.15
2016-03-15 10:54:00,21.16
2016-03-15 10:54:05,21.15
2016-03-15 10:54:10,21.145
2016-03-15 10:54:15,21.14
2016-03-15 10:54:20,21.14
2016-03-15 10:54:25,21.15
2016-03-15 10:54:30,21.14
2016-03-15 10:54:35,21.14
2016-03-15 10:54:40,21.14
2016-03-15 10:54:45,21.15
2016-03-15 10:54:50,21.14
2016-03-15 10:54:55,21.14
2016-03-15 10:55:00,21.13
2016-03-15 10:55:05,21.14
2016-03-15 10:55:10,21.14
2016-03-15 10:55:15,21.14
2016-03-15 10:55:20,21.14
2016-03-15 10:55:25,21.13
2016-03-15 10:55:30,21.135
2016-03-15 10:55:35,21.13
2016-03-15 10:55:40,21.13
2016-03-15 10:55:45,21.14
2016-03-15 10:55:50,21.135
2016-03-15 10:55:55,21.13
2016-03-15 10:56:00,21.14
2016-03-15 10:56:05,21.14
2016-03-15 10:56:10,21.135
2016-03-15 10:56:15,21.13
2016-03-15 10:56:20,21.14
2016-03-15 10:56:25,21.14
2016-03-15 10:56:30,21.14
2016-03-15 10:56:35,21.14
2016-03-15 10:56:40,21.14
2016-03-15 10:56:45,21.14
2016-03-15 10:56:50,21.14
2016-03-15 10:56:55,21.14
2016-03-15 10:57:00,21.13
2016-03-15 10:57:05,21.14
2016-03-15 10:57:10,21.14
2016-03-15 10:57:15,21.13
2016-03-15 10:57:20,21.13
2016-03-15 10:57:25,21.14
2016-03-15 10:57:30,21.13
2016-03-15 10:57:35,21.13
2016-03-15 10:57:40,21.14
2016-03-15 10:57:45,21.13
2016-03-15 10:57:50,21.13
2016-03-15 10:57:55,21.135
2016-03-15 10:58:00,21.14
2016-03-15 10:58:05,21.13
2016-03-15 10:58:10,21.135
2016-03-15 10:58:15,21.13
2016-03-15 10:58:20,21.13
2016-03-15 10:58:25,21.13
2016-03-15 10:58:30,21.13
2016-03-15 10:58:35,21.12
2016-03-15 10:58:40,21.13
2016-03-15 10:58:45,21.13
2016-03-15 10:58:50,21.14
2016-03-15 10:58:55,21.13
2016-03-15 10:59:00,21.12
2016-03-15 10:59:05,21.12
2016-03-15 10:59:10,21.13
2016-03-15 10:59:15,21.13
2016-03-15 10:59:20,21.12
2016-03-15 10:59:25,21.12
2016-03-15 10:59:30,21.125
2016-03-15 10:59:35,21.12
2016-03-15 10:59:40,21.12
2016-03-15 10:59:45,21.12
2016-03-15 10:59:50,21.12
2016-03-15 10:59:55,21.125
2016-03-15 11:00:00,21.13
2016-03-15 11:00:05,21.13
2016-03-15 11:00:10,21.125
2016-03-15 11:00:15,21.14
2016-03-15 11:00:20,21.14
2016-03-15 11:00:25,21.13
2016-03-15 11:00:30,21.125
2016-03-15 11:00:35,21.12
2016-03-15 11:00:40,21.13
2016-03-15 11:00:45,21.12
2016-03-15 11:00:50,21.12
2016-03-15 11:00:55,21.13
2016-03-15 11:01:00,21.13
2016-03-15 11:01:05,21.12
