AbsT,0
2016-03-15 08:57:45,True
2016-03-15 08:57:50,True
2016-03-15 08:57:55,True
2016-03-15 08:58:00,True
2016-03-15 08:58:05,True
2016-03-15 08:58:10,True
2016-03-15 08:58:15,True
2016-03-15 08:58:20,True
2016-03-15 08:58:25,True
2016-03-15 08:58:30,True
2016-03-15 08:58:35,True
2016-03-15 08:58:40,True
2016-03-15 08:58:45,True
2016-03-15 08:58:50,True
2016-03-15 08:58:55,True
2016-03-15 08:59:00,True
2016-03-15 08:59:05,True
2016-03-15 08:59:10,True
2016-03-15 08:59:15,True
2016-03-15 08:59:20,True
2016-03-15 08:59:25,True
2016-03-15 08:59:30,True
2016-03-15 08:59:35,True
2016-03-15 08:59:40,True
2016-03-15 08:59:45,True
2016-03-15 08:59:50,True
2016-03-15 08:59:55,True
2016-03-15 09:00:00,True
2016-03-15 09:00:05,True
2016-03-15 09:00:10,True
2016-03-15 09:00:15,True
2016-03-15 09:00:20,True
2016-03-15 09:00:25,True
2016-03-15 09:00:30,True
2016-03-15 09:00:35,True
2016-03-15 09:00:40,True
2016-03-15 09:00:45,False
2016-03-15 09:00:50,False
2016-03-15 09:00:55,False
2016-03-15 09:01:00,False
2016-03-15 09:01:05,False
2016-03-15 09:01:10,False
2016-03-15 09:01:15,False
2016-03-15 09:01:20,False
2016-03-15 09:01:25,False
2016-03-15 09:01:30,False
2016-03-15 09:01:35,False
2016-03-15 09:01:40,False
2016-03-15 09:01:45,False
2016-03-15 09:01:50,False
2016-03-15 09:01:55,False
2016-03-15 09:02:00,False
2016-03-15 09:02:05,False
2016-03-15 09:02:10,False
2016-03-15 09:02:15,False
2016-03-15 09:02:20,False
2016-03-15 09:02:25,False
2016-03-15 09:02:30,False
2016-03-15 09:02:35,True
2016-03-15 09:02:40,False
2016-03-15 09:02:45,False
2016-03-15 09:02:50,False
2016-03-15 09:02:55,False
2016-03-15 09:03:00,False
2016-03-15 09:03:05,False
2016-03-15 09:03:10,False
2016-03-15 09:03:15,False
2016-03-15 09:03:20,False
2016-03-15 09:03:25,False
2016-03-15 09:03:30,False
2016-03-15 09:03:35,False
2016-03-15 09:03:40,False
2016-03-15 09:03:45,False
2016-03-15 09:03:50,False
2016-03-15 09:03:55,False
2016-03-15 09:04:00,False
2016-03-15 09:04:05,False
2016-03-15 09:04:10,False
2016-03-15 09:04:15,False
2016-03-15 09:04:20,False
2016-03-15 09:04:25,False
2016-03-15 09:04:30,False
2016-03-15 09:04:35,False
2016-03-15 09:04:40,False
2016-03-15 09:04:45,False
2016-03-15 09:04:50,False
2016-03-15 09:04:55,False
2016-03-15 09:05:00,False
2016-03-15 09:05:05,False
2016-03-15 09:05:10,False
2016-03-15 09:05:15,False
2016-03-15 09:05:20,False
2016-03-15 09:05:25,False
2016-03-15 09:05:30,False
2016-03-15 09:05:35,False
2016-03-15 09:05:40,False
2016-03-15 09:05:45,False
2016-03-15 09:05:50,False
2016-03-15 09:05:55,False
2016-03-15 09:06:00,False
2016-03-15 09:06:05,False
2016-03-15 09:06:10,False
2016-03-15 09:06:15,False
2016-03-15 09:06:20,False
2016-03-15 09:06:25,False
2016-03-15 09:06:30,False
2016-03-15 09:06:35,False
2016-03-15 09:06:40,False
2016-03-15 09:06:45,False
2016-03-15 09:06:50,False
2016-03-15 09:06:55,False
2016-03-15 09:07:00,False
2016-03-15 09:07:05,False
2016-03-15 09:07:10,False
2016-03-15 09:07:15,False
2016-03-15 09:07:20,False
2016-03-15 09:07:25,False
2016-03-15 09:07:30,False
2016-03-15 09:07:35,True
2016-03-15 09:07:40,True
2016-03-15 09:07:45,True
2016-03-15 09:07:50,True
2016-03-15 09:07:55,True
2016-03-15 09:08:00,True
2016-03-15 09:08:05,True
2016-03-15 09:08:10,True
2016-03-15 09:08:15,True
2016-03-15 09:08:20,True
2016-03-15 09:08:25,True
