AbsT,status
2016-03-15 09:03:24.062,Off
2016-03-15 09:03:28.426,Off
2016-03-15 09:03:32.906,Off
2016-03-15 09:03:36.398,Off
2016-03-15 09:03:40.502,Off
2016-03-15 09:03:44.491,Off
2016-03-15 09:03:48.356,Off
2016-03-15 09:03:52.971,Off
2016-03-15 09:03:56.836,Off
2016-03-15 09:04:00.201,Off
2016-03-15 09:04:04.440,Off
2016-03-15 09:04:08.170,Off
2016-03-15 09:04:12.525,Off
2016-03-15 09:04:16.140,Off
2016-03-15 09:04:21.130,Off
2016-03-15 09:04:23.994,Off
2016-03-15 09:04:28.485,Off
2016-03-15 09:04:33.600,Off
2016-03-15 09:04:36.714,Off
2016-03-15 09:04:39.954,Off
2016-03-15 09:04:45.193,Off
2016-03-15 09:04:47.934,Off
2016-03-15 09:04:52.923,Off
2016-03-15 09:04:56.664,Off
2016-03-15 09:05:00.528,Off
2016-03-15 09:05:04.768,Off
2016-03-15 09:05:08.508,Off
2016-03-15 09:05:12.498,Off
2016-03-15 09:05:15.987,Off
2016-03-15 09:05:20.228,Off
2016-03-15 09:05:23.967,Off
2016-03-15 09:05:28.582,Off
2016-03-15 09:05:32.322,Off
2016-03-15 09:05:36.062,Off
2016-03-15 09:05:39.927,Off
2016-03-15 09:05:44.417,Off
2016-03-15 09:05:48.407,Off
2016-03-15 09:05:52.771,Off
2016-03-15 09:05:56.386,Off
2016-03-15 09:06:00.876,Off
2016-03-15 09:06:04.735,Off
2016-03-15 09:06:07.974,Off
2016-03-15 09:06:12.339,Off
2016-03-15 09:06:17.455,Off
2016-03-15 09:06:20.445,Off
2016-03-15 09:06:24.299,Off
2016-03-15 09:06:28.539,Off
2016-03-15 09:06:32.894,Off
2016-03-15 09:06:36.384,Off
2016-03-15 09:06:40.873,Off
2016-03-15 09:06:43.988,Off
2016-03-15 09:06:48.478,Off
2016-03-15 09:06:52.718,Off
2016-03-15 09:06:55.958,Off
2016-03-15 09:07:00.073,Off
2016-03-15 09:07:04.070,Off
2016-03-15 09:07:08.928,Off
2016-03-15 09:07:13.043,Off
2016-03-15 09:07:16.782,Off
2016-03-15 09:07:20.522,Off
2016-03-15 09:07:25.012,Off
2016-03-15 09:07:28.502,Off
2016-03-15 09:07:32.366,Off
2016-03-15 09:07:36.627,Off
2016-03-15 09:07:40.846,Off
2016-03-15 09:07:44.607,Off
2016-03-15 09:07:48.076,Off
2016-03-15 09:07:52.586,Off
2016-03-15 09:07:56.921,Off
2016-03-15 09:08:00.786,Off
2016-03-15 09:08:04.276,Off
2016-03-15 09:08:08.140,Off
2016-03-15 09:08:12.505,Off
2016-03-15 09:08:16.516,Off
2016-03-15 09:08:20.380,Off
2016-03-15 09:08:24.591,Off
2016-03-15 09:08:28.585,Off
2016-03-15 09:08:32.685,Off
2016-03-15 09:08:36.675,Off
2016-03-15 09:08:40.654,Off
2016-03-15 09:08:44.019,Off
2016-03-15 09:08:48.009,Off
2016-03-15 09:08:52.373,Off
2016-03-15 09:08:56.989,Off
2016-03-15 09:09:00.229,Off
2016-03-15 09:09:03.969,Off
2016-03-15 09:09:08.834,Off
2016-03-15 09:09:12.074,Off
2016-03-15 09:09:16.817,Off
2016-03-15 09:09:20.679,Off
2016-03-15 09:09:24.293,Off
2016-03-15 09:09:28.533,Off
2016-03-15 09:09:33.266,Off
2016-03-15 09:09:36.506,Off
2016-03-15 09:09:40.245,Off
2016-03-15 09:09:44.235,Off
2016-03-15 09:09:48.474,Off
2016-03-15 09:09:52.964,Off
2016-03-15 09:09:56.829,Off
2016-03-15 09:10:00.695,Off
2016-03-15 09:10:04.817,Off
2016-03-15 09:10:08.789,Off
2016-03-15 09:10:12.654,Off
2016-03-15 09:10:16.144,Off
2016-03-15 09:10:20.508,Off
2016-03-15 09:10:24.624,Off
2016-03-15 09:10:28.364,Off
2016-03-15 09:10:33.353,Off
2016-03-15 09:10:36.343,Off
2016-03-15 09:10:40.458,Off
2016-03-15 09:10:44.323,Off
2016-03-15 09:10:47.938,Off
2016-03-15 09:10:52.303,Off
2016-03-15 09:10:56.917,Off
2016-03-15 09:11:01.407,Off
2016-03-15 09:11:04.272,Off
2016-03-15 09:11:08.387,Off
2016-03-15 09:11:12.627,Off
2016-03-15 09:11:16.117,Off
2016-03-15 09:11:20.856,Off
2016-03-15 09:11:23.847,Off
2016-03-15 09:11:28.462,Off
2016-03-15 09:11:32.826,Off
2016-03-15 09:11:35.942,Off
2016-03-15 09:11:40.306,Off
2016-03-15 09:11:44.421,Off
2016-03-15 09:11:47.910,Off
2016-03-15 09:11:53.025,Off
2016-03-15 09:11:56.890,Off
2016-03-15 09:12:00.631,Off
2016-03-15 09:12:04.746,Off
2016-03-15 09:12:08.360,Off
2016-03-15 09:12:12.975,Off
2016-03-15 09:12:16.589,Off
2016-03-15 09:12:20.955,Off
2016-03-15 09:12:24.695,Off
2016-03-15 09:12:28.688,Off
2016-03-15 09:12:32.576,Off
2016-03-15 09:12:36.529,Off
2016-03-15 09:12:41.760,Off
2016-03-15 09:12:44.374,Off
2016-03-15 09:12:48.239,Off
2016-03-15 09:12:52.229,Off
2016-03-15 09:12:56.718,Off
2016-03-15 09:13:00.833,Off
2016-03-15 09:13:04.939,Off
2016-03-15 09:13:08.303,Off
2016-03-15 09:13:12.293,Off
2016-03-15 09:13:16.784,Off
2016-03-15 09:13:20.273,Off
2016-03-15 09:13:24.012,Off
2016-03-15 09:13:28.002,Off
2016-03-15 09:13:32.243,Off
2016-03-15 09:13:36.108,Off
2016-03-15 09:13:40.098,Off
2016-03-15 09:13:44.350,Off
2016-03-15 09:13:49.452,Off
2016-03-15 09:13:52.567,Off
2016-03-15 09:13:56.812,Off
2016-03-15 09:14:00.546,Off
2016-03-15 09:14:03.911,Off
2016-03-15 09:14:08.026,Off
2016-03-15 09:14:12.641,Off
2016-03-15 09:14:17.131,Off
2016-03-15 09:14:20.747,Off
